# Program:featureCounts v1.6.4; Command:"featureCounts" "-T" "4" "-p" "-a" "../Hv_genome/gene_annotation/Barley_Morex_V2_gene_annotation_PGSB.all.gff3.gz" "-t" "gene" "-g" "ID" "-o" "../4_Counts/GC_GABA_ABA_geneCounts.txt" "../3_BAM/GABA_S3.STARAligned_sortedByName.bam" "../3_BAM/GABA_S2.STARAligned_sortedByName.bam" "../3_BAM/GABA_S4.STARAligned_sortedByName.bam" "../3_BAM/GABA_S1.STARAligned_sortedByName.bam" "../3_BAM/Kont_S3.STARAligned_sortedByName.bam" "../3_BAM/Kont_S2.STARAligned_sortedByName.bam" "../3_BAM/Kont_S4.STARAligned_sortedByName.bam" "../3_BAM/Kont_S1.STARAligned_sortedByName.bam" "../3_BAM/ABA_S3.STARAligned_sortedByName.bam" "../3_BAM/ABA_S2.STARAligned_sortedByName.bam" "../3_BAM/ABA_S4.STARAligned_sortedByName.bam" "../3_BAM/ABA_S1.STARAligned_sortedByName.bam" 
Geneid	../3_BAM/GABA_S3.STARAligned_sortedByName.bam	../3_BAM/GABA_S2.STARAligned_sortedByName.bam	../3_BAM/GABA_S4.STARAligned_sortedByName.bam	../3_BAM/GABA_S1.STARAligned_sortedByName.bam	../3_BAM/Kont_S3.STARAligned_sortedByName.bam	../3_BAM/Kont_S2.STARAligned_sortedByName.bam	../3_BAM/Kont_S4.STARAligned_sortedByName.bam	../3_BAM/Kont_S1.STARAligned_sortedByName.bam	../3_BAM/ABA_S3.STARAligned_sortedByName.bam	../3_BAM/ABA_S2.STARAligned_sortedByName.bam	../3_BAM/ABA_S4.STARAligned_sortedByName.bam	../3_BAM/ABA_S1.STARAligned_sortedByName.bam
HORVU.MOREX.r2.1HG0000010	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0000020	9107	15452	13884	12236	3047	2467	5199	2352	2160	6463	7355	6429
HORVU.MOREX.r2.1HG0000030	2436	4457	2928	2012	1331	867	2075	1955	1180	2582	2295	3278
HORVU.MOREX.r2.1HG0000040	554	1079	785	506	398	159	427	435	225	333	381	504
HORVU.MOREX.r2.1HG0000050	1153	2749	1749	1212	719	377	855	679	649	1216	1272	1582
HORVU.MOREX.r2.1HG0000060	3647	5107	5158	3336	3692	1156	3670	3837	1666	3015	2755	3694
HORVU.MOREX.r2.1HG0000070	781	826	956	1015	1242	443	1228	919	763	1038	965	1091
HORVU.MOREX.r2.1HG0000080	949	1304	1552	1273	1836	612	1635	1266	893	1169	1493	1472
HORVU.MOREX.r2.1HG0000090	2537	3163	3017	2088	2874	1118	3120	2466	1991	2821	3558	3497
HORVU.MOREX.r2.1HG0000100	3	0	8	11	13	4	11	16	8	15	18	5
HORVU.MOREX.r2.1HG0000110	346	581	512	501	652	184	639	527	340	414	431	684
HORVU.MOREX.r2.1HG0000120	320	419	406	349	487	182	483	364	265	340	294	405
HORVU.MOREX.r2.1HG0000130	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0000140	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0000150	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0000160	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0000170	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0000180	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0000190	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0000200	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0000210	150	198	295	128	166	55	68	0	444	19	249	4
HORVU.MOREX.r2.1HG0000220	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0000230	0	0	0	0	0	0	0	0	0	5	0	0
HORVU.MOREX.r2.1HG0000240	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0000250	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0000260	1	0	0	2	0	1	1	0	0	0	0	0
HORVU.MOREX.r2.1HG0000270	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0000280	2294	2662	2944	2865	2870	1678	3603	1918	1400	2907	3243	2332
HORVU.MOREX.r2.1HG0000290	2	3	3	9	0	0	2	1	0	1	3	0
HORVU.MOREX.r2.1HG0000300	7	6	26	13	8	0	1	6	6	4	5	1
HORVU.MOREX.r2.1HG0000310	3	0	0	5	0	1	0	0	4	2	2	0
HORVU.MOREX.r2.1HG0000320	13	13	22	17	17	15	13	17	9	14	22	8
HORVU.MOREX.r2.1HG0000330	1	5	4	1	9	4	3	1	0	2	1	0
HORVU.MOREX.r2.1HG0000340	0	0	0	0	0	0	0	0	3	0	0	0
HORVU.MOREX.r2.1HG0000350	0	0	0	2	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0000360	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0000370	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0000380	1	0	0	2	0	0	0	0	0	2	0	0
HORVU.MOREX.r2.1HG0000390	985	843	1400	908	1226	289	660	1213	155	222	453	299
HORVU.MOREX.r2.1HG0000400	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0000410	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0000420	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0000430	0	2	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0000440	315	365	382	709	463	167	286	232	431	202	230	129
HORVU.MOREX.r2.1HG0000450	240	281	433	371	487	184	391	241	234	167	253	136
HORVU.MOREX.r2.1HG0000460	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0000470	1275	2088	2058	1265	1304	563	1123	1035	686	755	908	885
HORVU.MOREX.r2.1HG0000480	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0000490	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0000500	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0000510	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0000520	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0000530	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0000540	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0000550	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0000560	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0000570	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0000580	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0000590	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0000600	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0000610	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0000620	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0000630	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0000640	5	4	10	10	4	2	3	4	2	9	5	6
HORVU.MOREX.r2.1HG0000650	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0000660	0	0	1	0	0	0	0	0	0	0	0	1
HORVU.MOREX.r2.1HG0000670	421	529	653	540	984	343	1057	784	692	923	1272	1107
HORVU.MOREX.r2.1HG0000680	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0000690	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0000700	753	1076	1030	895	901	352	931	718	506	751	992	773
HORVU.MOREX.r2.1HG0000710	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0000720	181	333	337	239	178	130	289	375	88	254	171	256
HORVU.MOREX.r2.1HG0000730	1935	2545	2663	2780	2771	1219	3127	1743	1746	2892	3268	2702
HORVU.MOREX.r2.1HG0000740	2906	3718	3621	2550	2226	1203	2226	2235	1329	1467	2065	2055
HORVU.MOREX.r2.1HG0000750	44	53	40	53	19	43	35	23	23	33	10	2
HORVU.MOREX.r2.1HG0000760	46	63	84	117	68	52	65	81	57	69	54	76
HORVU.MOREX.r2.1HG0000770	7	0	3	15	2	1	0	0	2	2	0	10
HORVU.MOREX.r2.1HG0000780	0	1	0	1	0	0	0	0	1	0	0	1
HORVU.MOREX.r2.1HG0000790	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0000800	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0000810	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0000820	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0000830	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0000840	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0000850	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0000860	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0000870	158	229	234	179	305	95	234	209	92	151	135	255
HORVU.MOREX.r2.1HG0000880	0	2	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0000890	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0000900	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0000910	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0000920	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0000930	0	0	2	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0000940	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0000950	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0000960	959	1341	1240	953	1465	447	1430	1289	1057	1015	1360	1517
HORVU.MOREX.r2.1HG0000970	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0000980	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0000990	0	0	0	0	0	0	0	0	0	0	1	0
HORVU.MOREX.r2.1HG0001000	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0001010	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0001020	1759	2391	2405	1206	1170	475	1158	1365	745	948	1162	1290
HORVU.MOREX.r2.1HG0001030	617	811	854	588	838	406	750	793	465	730	719	796
HORVU.MOREX.r2.1HG0001040	113	150	127	110	175	61	165	207	72	158	55	90
HORVU.MOREX.r2.1HG0001050	35	56	37	24	80	28	67	64	12	54	31	48
HORVU.MOREX.r2.1HG0001060	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0001070	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0001080	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0001090	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0001100	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0001110	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0001120	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0001130	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0001140	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0001150	0	0	0	0	1	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0001160	15	18	87	7	10	23	8	144	1	5	6	3
HORVU.MOREX.r2.1HG0001170	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0001180	0	0	3	4	17	19	16	18	12	6	17	7
HORVU.MOREX.r2.1HG0001190	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0001200	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0001210	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0001220	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0001230	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0001240	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0001250	0	0	0	2	2	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0001260	0	0	0	3	2	0	4	0	1	1	2	1
HORVU.MOREX.r2.1HG0001270	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0001280	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0001290	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0001300	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0001310	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0001320	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0001330	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0001340	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0001350	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0001360	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0001370	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0001380	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0001390	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0001400	100	117	110	76	84	28	80	103	39	133	84	77
HORVU.MOREX.r2.1HG0001410	235	231	290	194	204	158	278	263	140	230	221	274
HORVU.MOREX.r2.1HG0001420	1	0	2	0	1	1	1	1	0	0	2	3
HORVU.MOREX.r2.1HG0001430	49	72	89	51	104	48	134	86	51	108	72	86
HORVU.MOREX.r2.1HG0001440	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0001450	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0001460	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0001470	0	0	0	0	1	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0001480	0	0	0	0	0	0	0	0	0	6	5	2
HORVU.MOREX.r2.1HG0001490	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0001500	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0001510	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0001520	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0001530	206	302	294	439	274	124	452	268	163	376	445	367
HORVU.MOREX.r2.1HG0001540	12265	16739	16044	11667	10787	4981	11929	9409	6590	8112	9927	8348
HORVU.MOREX.r2.1HG0001550	300	475	434	302	316	139	386	343	231	308	293	344
HORVU.MOREX.r2.1HG0001560	0	1	3	1	0	0	6	3	1	1	0	1
HORVU.MOREX.r2.1HG0001570	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0001580	107	144	191	96	163	45	162	107	91	58	52	39
HORVU.MOREX.r2.1HG0001590	0	0	0	2	1	0	0	0	3	0	0	0
HORVU.MOREX.r2.1HG0001600	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0001610	5	15	33	41	28	10	34	12	13	20	1	1
HORVU.MOREX.r2.1HG0001620	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0001630	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0001640	4	5	16	4	9	8	25	8	2	14	18	16
HORVU.MOREX.r2.1HG0001650	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0001660	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0001670	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0001680	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0001690	570	764	696	525	584	214	679	488	365	491	545	464
HORVU.MOREX.r2.1HG0001700	160	86	117	87	120	60	83	69	68	101	145	151
HORVU.MOREX.r2.1HG0001710	5998	9761	9066	6941	6683	2892	7242	4847	4315	4686	7323	6023
HORVU.MOREX.r2.1HG0001720	678	897	985	811	977	342	947	739	550	669	892	737
HORVU.MOREX.r2.1HG0001730	79	88	89	78	146	84	130	154	131	241	156	152
HORVU.MOREX.r2.1HG0001740	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0001750	2977	4088	4217	3434	3402	2676	5254	4318	2894	6284	4668	4505
HORVU.MOREX.r2.1HG0001760	1429	2056	2251	1814	2377	1859	3929	2342	1983	3355	3513	2663
HORVU.MOREX.r2.1HG0001770	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0001780	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0001790	0	0	3	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0001800	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0001810	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0001820	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0001830	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0001840	0	0	0	0	0	0	0	0	0	0	3	0
HORVU.MOREX.r2.1HG0001850	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0001860	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0001870	731	777	988	780	649	377	758	526	404	704	803	564
HORVU.MOREX.r2.1HG0001880	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0001890	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0001900	7	5	0	1	0	0	0	3	0	4	0	5
HORVU.MOREX.r2.1HG0001910	455	655	727	429	506	137	484	534	291	410	374	419
HORVU.MOREX.r2.1HG0001920	844	1383	1293	757	794	270	810	810	642	755	744	1024
HORVU.MOREX.r2.1HG0001930	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0001940	763	685	993	754	947	371	833	629	575	915	1030	1026
HORVU.MOREX.r2.1HG0001950	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0001960	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0001970	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0001980	723	872	974	643	1039	451	1006	678	646	709	697	833
HORVU.MOREX.r2.1HG0001990	0	0	0	0	0	0	3	0	0	0	2	0
HORVU.MOREX.r2.1HG0002000	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0002010	4	10	5	4	5	0	0	7	2	13	1	3
HORVU.MOREX.r2.1HG0002020	3579	7046	3670	4257	3704	2011	3970	3337	2685	3169	3681	3016
HORVU.MOREX.r2.1HG0002030	0	0	3	0	0	0	0	3	0	0	0	2
HORVU.MOREX.r2.1HG0002040	9	19	25	9	239	114	129	171	331	285	268	543
HORVU.MOREX.r2.1HG0002050	2	15	23	59	29	15	40	37	26	43	63	58
HORVU.MOREX.r2.1HG0002060	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0002070	64	86	20	55	105	10	33	39	120	309	193	195
HORVU.MOREX.r2.1HG0002080	0	0	1	0	0	0	0	0	2	0	0	0
HORVU.MOREX.r2.1HG0002090	452	1560	472	392	56	18	36	22	490	565	587	793
HORVU.MOREX.r2.1HG0002100	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0002110	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0002120	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0002130	0	0	0	0	2	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0002140	0	0	1	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0002150	0	0	0	0	0	1	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0002160	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0002170	389	476	575	416	718	191	482	429	388	269	557	412
HORVU.MOREX.r2.1HG0002180	465	571	549	436	496	199	573	522	370	529	546	666
HORVU.MOREX.r2.1HG0002190	1302	1684	1642	1181	1463	761	1489	1190	1089	1545	1727	1504
HORVU.MOREX.r2.1HG0002200	140	190	241	129	105	43	84	159	100	175	174	236
HORVU.MOREX.r2.1HG0002210	5	6	0	6	4	0	0	20	4	7	8	6
HORVU.MOREX.r2.1HG0002220	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0002230	0	0	0	0	0	0	1	0	0	0	0	0
HORVU.MOREX.r2.1HG0002240	1	18	0	1	0	0	0	0	0	0	6	0
HORVU.MOREX.r2.1HG0002250	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0002260	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0002270	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0002280	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.1HG0002290	0	0	0	0	0	0	0	0	0	0	0	0
