GeneID,logFC,logCPM,F,PValue,adj.p,comparision,expression
HORVU.MOREX.r2.1HG0000390,-1.7036750659083673,4.679359041032278,33.48143756782724,9.1817189095883e-5,0.0031206429076771312,ABA v.s. Control,Down
HORVU.MOREX.r2.1HG0002040,1.2507524015247293,2.8295824670574325,13.285391694772931,0.0034377906992146016,0.033963681391502944,ABA v.s. Control,Up
HORVU.MOREX.r2.1HG0002070,2.041185192204674,2.0578088706988114,15.816650669325128,0.0018893720207883557,0.02294468611240509,ABA v.s. Control,Up
HORVU.MOREX.r2.1HG0002090,4.272487894572028,4.107540040110648,76.99622415863634,1.6068798170734231e-6,3.142980295433019e-4,ABA v.s. Control,Up
HORVU.MOREX.r2.1HG0003040,3.689072905359804,0.4100442459175942,11.42509930243929,0.0055765300026317174,0.04692070933453409,ABA v.s. Control,Up
HORVU.MOREX.r2.1HG0004220,2.309408587951297,-0.7298738592394605,11.368949705541745,0.005662295205876755,0.04736130750619884,ABA v.s. Control,Up
HORVU.MOREX.r2.1HG0004340,1.561239785999989,2.3789178239867828,36.385620918676366,6.304622922787308e-5,0.0024844458091708432,ABA v.s. Control,Up
HORVU.MOREX.r2.1HG0004350,-1.0040898810819652,2.4077829095768717,14.585135642947865,0.002508478422807793,0.02739890387866092,ABA v.s. Control,Down
HORVU.MOREX.r2.1HG0004630,-1.0028329441894646,8.862113599163573,22.326588410922287,5.131284239843949e-4,0.009611090744807944,ABA v.s. Control,Down
HORVU.MOREX.r2.1HG0005620,6.991062392254911,-1.9618947691120634,37.23735870134211,1.2439940112405758e-4,0.0037069284980691545,ABA v.s. Control,Up
HORVU.MOREX.r2.1HG0005660,2.2397632354017034,0.877039134176959,22.741720409860207,4.765346655002796e-4,0.009152457776375298,ABA v.s. Control,Up
HORVU.MOREX.r2.1HG0005850,-1.764376137421334,2.180403831578149,15.183367850204027,0.0021820126240513905,0.025095227249705542,ABA v.s. Control,Down
HORVU.MOREX.r2.1HG0006000,2.4045645749196876,-0.3491463683395451,19.766717490809178,8.278001053733053e-4,0.01319499212922172,ABA v.s. Control,Up
HORVU.MOREX.r2.1HG0006050,8.358733602724259,-0.812329630385994,34.039251491102554,1.7713295767221538e-4,0.0047234149089009116,ABA v.s. Control,Up
HORVU.MOREX.r2.1HG0006680,1.0958416059557972,2.6558576701413656,12.766727540460861,0.003918116558706722,0.03686577586424052,ABA v.s. Control,Up
HORVU.MOREX.r2.1HG0007100,7.955271073075491,0.538514680787571,22.495341544351184,0.0011145464433195043,0.016049735103142157,ABA v.s. Control,Up
HORVU.MOREX.r2.1HG0007740,1.4058707703899525,7.146663770201702,13.746718648355923,0.0030678334725379023,0.03138930122623034,ABA v.s. Control,Up
HORVU.MOREX.r2.1HG0009170,-2.011570834851374,1.199918615081617,19.217780770744103,9.221027419331812e-4,0.014210422119768275,ABA v.s. Control,Down
HORVU.MOREX.r2.1HG0009410,1.6029359815256465,3.990007517261351,19.918565546169788,8.037424126970806e-4,0.012985934718817576,ABA v.s. Control,Up
HORVU.MOREX.r2.1HG0010080,-1.302691802196024,2.8237253666758915,13.550925570059897,0.0032188276976042288,0.03244725076549188,ABA v.s. Control,Down
HORVU.MOREX.r2.1HG0010090,1.377791318837385,6.872221483977879,27.199585298172103,2.2725271491056415e-4,0.005601384402488813,ABA v.s. Control,Up
HORVU.MOREX.r2.1HG0011090,-1.1159945986791773,5.610661330155815,16.104784661448218,0.0017716278474216149,0.021991174505636174,ABA v.s. Control,Down
HORVU.MOREX.r2.1HG0011140,3.055709947740585,1.2516851772685913,26.9017695308554,2.3810527986578355e-4,0.0058023485975258445,ABA v.s. Control,Up
HORVU.MOREX.r2.1HG0011150,1.6724441248582107,6.874921300285815,47.86911515016066,1.738878776204532e-5,0.0012220819760695757,ABA v.s. Control,Up
HORVU.MOREX.r2.1HG0011430,-1.5041849463185095,0.5010552531999575,15.066998084952322,0.0022414116330724803,0.025607331197556975,ABA v.s. Control,Down
HORVU.MOREX.r2.1HG0011540,-2.9830907743884527,3.633023008544238,14.82180868691804,0.0023728933560342646,0.026494195109106985,ABA v.s. Control,Down
HORVU.MOREX.r2.1HG0011680,1.436158743161032,0.7368417079075346,11.236733446458432,0.005870455885735027,0.04859656922442602,ABA v.s. Control,Up
HORVU.MOREX.r2.1HG0012280,-2.678165930084446,0.6695623969706654,16.501135374375195,0.0016234340837883892,0.02072802013972612,ABA v.s. Control,Down
HORVU.MOREX.r2.1HG0012660,2.2361776684542733,2.216962654558218,23.4506683264644,4.2086856765216184e-4,0.008479564139365538,ABA v.s. Control,Up
HORVU.MOREX.r2.1HG0012680,2.1835831753861195,7.150039877916774,34.24708666598643,8.295778017098153e-5,0.0029151315580199424,ABA v.s. Control,Up
HORVU.MOREX.r2.1HG0013150,2.7762059526454017,0.15698802357362493,15.72022427047182,0.0019308104749795711,0.02329535400893771,ABA v.s. Control,Up
HORVU.MOREX.r2.1HG0013470,-2.0144301542968046,7.262188869352527,33.035556952122,9.748591343592993e-5,0.003204904856336775,ABA v.s. Control,Down
HORVU.MOREX.r2.1HG0013600,2.3636404213674513,0.07875531639348687,23.41135279013519,4.2374867152889276e-4,0.008505316799230216,ABA v.s. Control,Up
HORVU.MOREX.r2.1HG0013700,1.7633784042488183,0.9675201143894855,18.092098264306777,0.001157911194238083,0.016486426050974518,ABA v.s. Control,Up
HORVU.MOREX.r2.1HG0013930,-1.7671224804321317,7.090586920780312,11.696242727193143,0.0051832864472419055,0.04488085599756227,ABA v.s. Control,Down
HORVU.MOREX.r2.1HG0014050,2.1827499571179523,-0.2543371064347693,12.758981570255067,0.0039258667933191466,0.03689549509541963,ABA v.s. Control,Up
HORVU.MOREX.r2.1HG0014490,1.3969908838251794,9.109639412984352,23.315371597602386,4.3087740388482817e-4,0.008596386912418078,ABA v.s. Control,Up
HORVU.MOREX.r2.1HG0014600,3.388811727261597,1.449557421677161,20.351612688291358,7.395061866865301e-4,0.012193253171180227,ABA v.s. Control,Up
HORVU.MOREX.r2.1HG0017020,-1.298029530804153,1.7993157826279227,43.188449917094054,2.8426389678162153e-5,0.0015825555417593,ABA v.s. Control,Down
HORVU.MOREX.r2.1HG0017950,4.815122379551164,1.316599545384864,25.293632594695815,7.547743867238385e-4,0.012385698683706503,ABA v.s. Control,Up
HORVU.MOREX.r2.1HG0018070,6.081023319375347,0.07581030827646652,21.834092627871048,5.60895902283092e-4,0.010196799864582365,ABA v.s. Control,Up
HORVU.MOREX.r2.1HG0019120,-1.7259443255233098,4.755631069638186,40.46473334906999,3.8606457955247653e-5,0.0019346434971443346,ABA v.s. Control,Down
HORVU.MOREX.r2.1HG0019450,-1.0822215564470192,4.724506883219417,14.841714249852107,0.002361887344119201,0.026434674215947827,ABA v.s. Control,Down
HORVU.MOREX.r2.1HG0019930,2.7045168942590196,-0.347260049360282,22.824973501749447,4.6956901007404845e-4,0.009099220704859334,ABA v.s. Control,Up
HORVU.MOREX.r2.1HG0020140,1.3200579648541655,5.926223681676033,37.210165679868226,5.690462062494544e-5,0.002379180128640412,ABA v.s. Control,Up
HORVU.MOREX.r2.1HG0020310,2.329722597441538,2.3055011635169707,38.66406562508017,4.769834716029892e-5,0.002181814718493673,ABA v.s. Control,Up
HORVU.MOREX.r2.1HG0021160,1.6903063692029383,0.5792156469719199,11.63045385272243,0.00527561800790002,0.04550055373826043,ABA v.s. Control,Up
HORVU.MOREX.r2.1HG0021370,1.1654766684717657,3.3592820438628177,25.058122452125136,3.2056649568098816e-4,0.007012319369224955,ABA v.s. Control,Up
