GO_term,Description,DECount,Expected,N,notDECount,p,adjP,FDR,expression,shortest_path,longest_path,terminal_node,ontology,Group
GO:0031224,intrinsic component of membrane,259,165.25961430922368,12602,12343,2.1971985472299546e-14,5.049162261534436e-11,5.049162261534436e-12,Down,2,3,FALSE,CC,ABA
GO:0006468,protein phosphorylation,103,45.468820399750754,3499,3396,3.9917772764250684e-14,9.173104181224807e-11,8.339185619295279e-12,Down,6,7,FALSE,BP,ABA
GO:0016021,integral component of membrane,256,164.4562782597581,12539,12283,7.652261687683969e-14,1.758489735829776e-10,1.4654081131914802e-11,Down,3,4,FALSE,CC,ABA
GO:0016020,membrane,296,203.2574094489447,15477,15181,1.050701957261855e-12,2.414513097787743e-9,1.857317767529033e-10,Down,2,2,FALSE,CC,ABA
GO:0004672,protein kinase activity,95,42.55003275335922,3273,3178,1.458256844437551e-12,3.3510742285174923e-9,2.393624448941066e-10,Down,3,5,FALSE,MF,ABA
GO:0016773,"phosphotransferase activity, alcohol group as acceptor",99,47.79849494320088,3669,3570,2.4760379456196308e-11,5.689935199033912e-8,3.793290132689274e-9,Down,4,4,FALSE,MF,ABA
GO:0016301,kinase activity,105,55.644410359647864,4261,4156,9.3610085653061675e-10,2.1511597683073573e-6,1.3444748551920983e-7,Down,4,4,FALSE,MF,ABA
GO:0016310,phosphorylation,116,64.62838517950439,4943,4827,1.7071031582848855e-9,3.922923057738667e-6,2.307601798669804e-7,Down,5,5,FALSE,BP,ABA
GO:0020037,heme binding,41,15.705219767051718,1214,1173,7.090342838866452e-8,1.6293607843715106e-4,8.57558307563953e-6,Down,3,4,TRUE,MF,ABA
GO:0004674,protein serine/threonine kinase activity,50,21.48923932320376,1655,1605,8.998079172913683e-8,2.0677585939355642e-4,1.0338792969677822e-5,Down,4,6,FALSE,MF,ABA
GO:0046906,tetrapyrrole binding,43,17.378836536771637,1341,1298,1.5631317880842697e-7,3.592076849017652e-4,1.710512785246501e-5,Down,3,3,FALSE,MF,ABA
GO:0098754,detoxification,20,5.302017926472703,416,396,9.934452598707878e-7,0.0022829372071830703,9.512238363262793e-5,Down,1,4,FALSE,BP,ABA
GO:0004601,peroxidase activity,18,4.4049593379028265,347,329,1.1729650131293615e-6,0.002695473600171273,1.0367206154504896e-4,Down,2,4,FALSE,MF,ABA
GO:0016684,"oxidoreductase activity, acting on peroxide as acceptor",18,4.485292942849383,353,335,1.4956887461475641e-6,0.0034370927386471023,1.2400327352347183e-4,Down,3,3,FALSE,MF,ABA
GO:0016209,antioxidant activity,19,5.127961782421831,402,383,2.3587207447766477e-6,0.005420340271496737,1.869082852240254e-4,Down,1,1,FALSE,MF,ABA
GO:0098869,cellular oxidant detoxification,19,5.14135071657959,403,384,2.445338055269315e-6,0.005619386851008886,1.8731289503362954e-4,Down,3,6,FALSE,BP,ABA
GO:1990748,cellular detoxification,19,5.181517519052869,406,387,2.7227585372595854e-6,0.006256899118622527,2.0183545543943636e-4,Down,2,5,FALSE,BP,ABA
