ID,Ath_besthit,Araport11_defline
HORVU.MOREX.r2.1HG0000020.1,AT1G68710,ATPase E1-E2 type family protein / haloacid dehalogenase-like hydrolase family protein
HORVU.MOREX.r2.1HG0000030.1,AT3G14690,"cytochrome P450, family 72, subfamily A, polypeptide 15"
HORVU.MOREX.r2.1HG0000040.1,AT1G36320,hypothetical protein
HORVU.MOREX.r2.1HG0000050.1,AT5G38560,Protein kinase superfamily protein
HORVU.MOREX.r2.1HG0000060.1,AT1G10590,"Nucleic acid-binding, OB-fold-like protein"
HORVU.MOREX.r2.1HG0000070.1,AT5G23490,hypothetical protein
HORVU.MOREX.r2.1HG0000080.1,AT3G47990,SUGAR-INSENSITIVE 3
HORVU.MOREX.r2.1HG0000090.1,AT5G62810,peroxin 14
HORVU.MOREX.r2.1HG0000100.1,AT3G54760,dentin sialophosphoprotein-like protein
HORVU.MOREX.r2.1HG0000110.1,AT2G33450,Ribosomal L28 family
HORVU.MOREX.r2.1HG0000120.1,AT3G08550,elongation defective 1 protein / ELD1 protein
HORVU.MOREX.r2.1HG0000210.1,AT1G48490,Protein kinase superfamily protein
HORVU.MOREX.r2.1HG0000230.1,AT3G14460,LRR and NB-ARC domains-containing disease resistance protein
HORVU.MOREX.r2.1HG0000260.1,AT3G14460,LRR and NB-ARC domains-containing disease resistance protein
HORVU.MOREX.r2.1HG0000280.1,AT1G70060,SIN3-like 4
HORVU.MOREX.r2.1HG0000290.1,AT3G14460,LRR and NB-ARC domains-containing disease resistance protein
HORVU.MOREX.r2.1HG0000300.1,AT3G14460,LRR and NB-ARC domains-containing disease resistance protein
HORVU.MOREX.r2.1HG0000310.1,AT3G14470,NB-ARC domain-containing disease resistance protein
HORVU.MOREX.r2.1HG0000320.1,AT3G14460,LRR and NB-ARC domains-containing disease resistance protein
HORVU.MOREX.r2.1HG0000350.1,ATMG00300,Gag-Pol-related retrotransposon family protein
HORVU.MOREX.r2.1HG0000390.1,AT5G14270,bromodomain and extraterminal domain protein 9
HORVU.MOREX.r2.1HG0000410.1,AT3G24255,RNA-directed DNA polymerase (reverse transcriptase)-related family protein
HORVU.MOREX.r2.1HG0000430.1,AT1G68890,2-oxoglutarate decarboxylase/hydro-lyase/magnesium ion-binding protein
HORVU.MOREX.r2.1HG0000440.1,AT3G48660,"transmembrane protein, putative (DUF 3339)"
HORVU.MOREX.r2.1HG0000450.1,AT5G08391,"transmembrane protein, putative (DUF 3339)"
HORVU.MOREX.r2.1HG0000470.1,AT5G13120,cyclophilin 20-2
HORVU.MOREX.r2.1HG0000580.1,AT3G11750,Dihydroneopterin aldolase
HORVU.MOREX.r2.1HG0000590.1,AT1G35710,kinase family with leucine-rich repeat domain-containing protein
HORVU.MOREX.r2.1HG0000640.1,AT1G35710,kinase family with leucine-rich repeat domain-containing protein
HORVU.MOREX.r2.1HG0000670.1,AT1G13390,translocase subunit seca
HORVU.MOREX.r2.1HG0000700.1,AT1G04950,TATA BOX ASSOCIATED FACTOR II 59
HORVU.MOREX.r2.1HG0000720.1,AT1G57820,Zinc finger (C3HC4-type RING finger) family protein
HORVU.MOREX.r2.1HG0000730.1,AT5G61960,MEI2-like protein 1
HORVU.MOREX.r2.1HG0000740.1,AT3G10640,SNF7 family protein
HORVU.MOREX.r2.1HG0000760.1,AT1G52410,TSK-associating protein 1
HORVU.MOREX.r2.1HG0000830.1,AT4G23160,cysteine-rich RECEPTOR-like kinase
HORVU.MOREX.r2.1HG0000840.1,AT4G23160,cysteine-rich RECEPTOR-like kinase
HORVU.MOREX.r2.1HG0000850.1,AT1G78280,"transferases, transferring glycosyl groups"
HORVU.MOREX.r2.1HG0000870.1,AT1G53520,Chalcone-flavanone isomerase family protein
HORVU.MOREX.r2.1HG0000960.1,AT2G28060,5'-AMP-activated protein kinase beta-2 subunit protein
HORVU.MOREX.r2.1HG0000970.1,AT1G54570,Esterase/lipase/thioesterase family protein
HORVU.MOREX.r2.1HG0001020.1,AT4G12340,copper ion binding protein
HORVU.MOREX.r2.1HG0001030.1,AT3G04710,ankyrin repeat family protein
